title,view_count,like_count,channel_name,published
[#밥친구] 동생은 항상 오빠의 꼬리표? 온 가족 집중! 오빠 vs 동생 성적 비교 | #티처스 12 회,3317586,23798,채널A WORLD,2024-01-24 13:00:04+00:00
[#밥친구] 아빠가 의대를 고집하는 진짜 이유👀? 내신 1.4 상위권 아들의 속마음💥 #공부법 | #티처스 7 회,2898792,20863,채널A WORLD,2023-12-20 13:00:01+00:00
[#밥친구] 수학 빼고 올A💯 답답함에 엄마를 밀어붙이는 예비 고1 우등생 딸! 나한테 칭찬 좀 하지마🔥 #정승제 #공부법 | #티처스 4 회,1510319,9999,채널A WORLD,2023-11-29 13:00:38+00:00
"[#밥친구] 역대급 노베이스 재수생의 등장 😮 50일 안에 수학 8등급에서 5등급, 가능할까?! | [Re: open] 성적을 부탁해 티처스 16회",1353666,11888,채널A WORLD,2024-07-14 13:00:40+00:00
[#밥친구] 영어 11점 사춘기 아들이 걱정스러운 영어학원 원장 엄마💦 인정받고 싶었던 도전학생의 이야기 #영포자 | #티처스 6 회,1300790,11354,채널A WORLD,2023-12-13 13:00:40+00:00
[#밥친구] 예중 중도 포기?! 미술에 푹 빠진 도전학생이 일반고에 진학한 이유 | #티처스 10 회,1177500,8101,채널A WORLD,2024-01-10 13:00:33+00:00
[#밥친구] 혼공러 주목🚨 티처스가 알려주는 슬기로운 자퇴생활 솔루션! 우등생 딸이 자퇴한 이유는? #자퇴 | #티처스 5 회,1132321,7340,채널A WORLD,2023-12-06 13:00:17+00:00
[#밥친구] 도전학생의 공부법을 본 승제T의 일침💥 성적이 추락한 진짜 이유는? #정승제 | #티처스 8 회,1130640,7170,채널A WORLD,2023-12-27 13:00:20+00:00
[#밥친구] 연습생 생활로 공부는 놓고 산 중3의 고민💦 인강계의 두 레전드는 도전학생의 성적을 올릴 수 있을까?   | #티처스 1 회,1127224,6890,채널A WORLD,2023-11-11 13:00:39+00:00
[#밥친구] 딸을 못 믿는 엄마?! 나노 단위로 공부 확인하는 엄마에게 던진 조정식의 일침!💥 | [Re: open] 성적을 부탁해 티처스 15회,871675,6353,채널A WORLD,2024-07-01 13:00:13+00:00
[#밥친구] 아빠 대폭발💥 한숨만 쌓이는 도전학생의 성적! 그런데 계속 게임에 열중? | #티처스 11 회,711244,4068,채널A WORLD,2024-01-17 13:00:34+00:00
[#밥친구] 90%의 덫에 빠진 수학 4등급 탈북 소녀🔥 솔루션 중 정승제가 폭발한 이유는?🤬 | #티처스 9 회,500392,3332,채널A WORLD,2024-01-03 13:00:23+00:00
"[#밥친구] 티처스 군단이 눈여겨본 인재의 등장?!😮 극상위권 도전학생, 과학고 갈 수 있을까? [Re: open] 성적을 부탁해 티처스 18회",279186,1921,채널A WORLD,2024-07-28 13:00:29+00:00
[#밥친구] 부상으로 야구 그만두고 공부 시작한 도전학생😥 정식T가 극대노한 이유는? | [Re: open] 성적을 부탁해 티처스 17회,235340,1558,채널A WORLD,2024-07-21 13:00:18+00:00
[#밥친구] 바둑에 올인했던 중학교 시절! 현실판 공부 미생?! 새 인생 도전하는 ADHD 고1 😮 | [Re: open] 성적을 부탁해 티처스 19회,179211,1120,채널A WORLD,2024-08-04 13:00:22+00:00
[#밥친구] 티처스에 등장한 IQ 139 소녀✨ 학군지 입성을 둔 치열한 토론! | 성적을 부탁해 티처스 20회,96723,668,채널A WORLD,2024-08-11 13:00:14+00:00
[#밥친구] 의대 가면 병원은 나의 것?! 맹목적인 사교육에 혼자 생각하는 법을 잊은 도전학생 😯 | 성적을 부탁해 티처스 21회,29280,208,채널A WORLD,2024-08-18 13:00:10+00:00
